报告期,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,存货,合同资产,划分为持有待售的资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,短期借款,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,划分为持有待售的负债,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款合计,长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),其他权益工具,其中：优先股,永续债,资本公积,减：库存股,其他综合收益,专项储备,盈余公积,未分配利润,一般风险准备,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,股东权益合计,负债和股东权益总计
2025-03-31,1497708307.26,2121216743.89,92758334.5,74380585.47,18377749.03,359077641.3,,,,1612812910.11,,,290299980.82,382314028.9,6429006448.56,,,,949142032.39,3312099.81,,,4311541972.51,,,528530287.11,,,,,900776155.83,,131734352.1,,109507836.76,1264339107.18,8206889474.04,14635895922.6,428957356.67,,,2340051952.45,1506828307.6,833223644.85,1722523.8,1504035436.54,175168051.85,103769179.21,,,,,,130254789.62,4945214238.73,1458953187.49,,0.0,,,,8612732.09,176226717.99,,1643792637.57,6589006876.3,1151891980.0,,,,273416838.09,,-418320.86,197231779.52,517960096.93,4984567612.3,,,7124649985.98,922239060.32,8046889046.3,14635895922.6
2024-12-31,1209455761.88,1363378627.53,18913839.63,6856747.34,12057092.29,259722789.94,,,,2020185696.45,,,186649912.33,490804978.11,5559858979.73,,,,980576662.95,3312099.81,,,4158929071.34,,,645513994.73,,,,,864023546.86,,131734352.1,,104787374.21,1561427686.29,8458349821.27,14018208801.0,80056944.44,,,2680508019.13,1800022118.6,880485900.53,1722523.8,1517118977.75,200894630.51,92294635.99,,,,,,137096124.42,4945127380.22,1078513864.57,,0.0,,,,9693300.31,176135955.04,,1264343119.92,6209470500.14,1151891980.0,,,,273416838.09,,-418320.86,183234225.14,517960096.93,4696379792.66,,,6822464611.96,986273688.9,7808738300.86,14018208801.0
2024-09-30,1398172446.89,1412670750.6,15491254.07,,15491254.07,221686240.49,,,,1239562193.68,,,110550684.93,407978855.64,4845179236.3,,,,969560748.93,2747356.06,,,3305848805.22,,,1254530848.51,,,,,866839652.27,,131734352.1,,77544870.45,1507265541.18,8125320655.63,12970499891.93,80060972.22,,,2175328051.88,1441806013.15,733522038.73,2921843.2,1631608451.17,176716480.75,86812309.1,,,,,,141361918.81,4498775545.75,654153895.82,,0.0,,,,14748404.18,181497628.49,,850399928.49,5349175474.24,1151891980.0,,,,272241874.79,,-898353.05,171398856.72,438868141.66,4613645269.17,,,6647147769.29,974176648.4,7621324417.69,12970499891.93
2024-06-30,1854633834.87,1037670750.6,13710405.18,,13710405.18,153702775.67,,,35667046.19,1252905008.64,,,70771228.89,392234390.8,4811295440.84,,,,938716636.27,2747356.06,,,3326283288.87,3326283288.87,,1001914323.69,1001914323.69,,,,819436311.55,,131734352.1,,81266132.67,1234997870.37,7546384155.12,12357679595.96,180124722.22,,,2247464253.41,1502732394.73,744731858.68,2921843.2,1051921077.21,177796251.81,82365286.7,,,199195640.66,,,89250806.93,4031039882.14,654149104.16,,0.0,,,,15116906.17,186904484.1,,856170494.43,4887210376.57,1156884000.0,,,,297104194.47,19240893.31,-898353.05,155826493.52,438868141.66,4459736005.48,,,6488279588.77,982189630.62,7470469219.39,12357679595.96
2024-03-31,2627851782.24,379466807.55,6679204.32,,6679204.32,127357087.64,,,,1269716468.75,,,60771228.89,634724266.17,5127192831.61,,,,1073958920.19,2747356.06,,,2281096859.55,,,1797213784.33,,,,,823824701.61,,131734352.1,,73608887.32,980241181.75,7173753329.08,12300946160.69,170151111.11,,,2247292726.44,1609993874.8,637298851.64,2923244.48,1170686363.73,160014416.91,71045970.73,,,,,,99106966.81,4112233354.39,654217375.69,,0.0,,,,15483126.74,187386452.01,,857086954.44,4969320308.83,1156884000.0,,,,297179251.18,19240893.31,-898353.05,142881671.66,438868141.66,4337842280.83,,,6353516098.97,978109752.89,7331625851.86,12300946160.69
2023-12-31,2590148908.15,640938270.57,5408241.37,,5408241.37,188275586.78,,,16975547.29,1553031803.47,,,40827684.93,1269350391.88,6304956434.44,,,,1022908259.34,2747356.06,,,2148326929.81,2148326929.81,,1627039336.7,1627039336.7,,,,813133187.71,,131734352.1,,74282831.09,647986669.5,6477525611.11,12782482045.55,150136666.67,,,2798569272.78,2183350977.98,615218294.8,2921843.2,1609341834.47,200823162.48,57281246.2,,,173672198.17,,,139959458.48,5132705682.45,351885125.68,,0.0,,,,16560419.78,168677829.0,,537123374.46,5669829056.91,1156884000.0,,,,297179251.18,,-898353.05,127302623.15,438868141.66,4099350769.16,,,6118686432.1,993966556.54,7112652988.64,12782482045.55
2023-09-30,3229309978.92,383335416.81,8713823.13,,8713823.13,467540456.16,,,,872639168.13,,,80000000.0,1291161969.2,6347279915.02,,,,997810314.12,3214864.93,,,2014684558.09,,,1046943021.99,,,,,784928286.66,,131734352.1,,78910679.64,584022474.85,5652818689.11,12000098604.13,150159166.67,,,2433497586.65,2002109431.8,431388154.85,4121162.6,1811535371.15,158043916.31,76938745.37,,,,,,157949383.46,4979619071.55,,,0.0,,,,19387388.38,173447711.72,,192835100.1,5172454171.65,1156884000.0,,,,297353386.29,,-500970.51,114990672.56,377422401.53,4039642010.62,,,5985791500.49,841852931.99,6827644432.48,12000098604.13
2023-06-30,3736885801.8,17961184.79,8872720.43,,8872720.43,272949475.32,,,14003231.91,733047900.21,,,80000000.0,67018264.24,4930738578.7,,,,970441748.63,3214864.93,,,2025919121.01,2025919121.01,,706405011.65,706405011.65,,,,749477391.55,,131734352.1,,80220142.94,338381427.92,5016403600.09,9947142178.79,392379972.22,,70200.0,2017968574.68,1642483374.33,375485200.35,4121162.6,456166137.75,147610906.21,53788050.66,,,162585236.1,,,34431116.03,3269121356.25,,,0.0,,,,19678516.28,176810096.3,,196488612.58,3465609968.83,1156884000.0,,,,297159833.55,,-500970.51,100718916.13,377422401.53,3858831951.55,,,5790516132.25,691016077.71,6481532209.96,9947142178.79
2023-03-31,4134536596.33,31213950.58,11871527.86,,11871527.86,333878690.88,,,,1073457155.48,,,50000000.0,30355918.52,5699443578.02,,,,973435812.64,3214864.93,,,2064452215.18,,,459523048.4,,,,,733360047.71,,131734352.1,,82219450.78,308240510.93,4766829244.66,10466272822.68,241578222.22,,21440.0,2214545415.15,1837615597.28,376929817.87,4121162.6,989064416.23,146394737.96,56659250.98,,,,,,82475389.27,3913930085.7,,,0.0,,,,20049380.01,181579980.88,,201629360.89,4115559446.59,1156884000.0,,,,296172863.43,,-500970.51,91178713.94,377422401.53,3732240593.55,,,5653397601.94,697315774.15,6350713376.09,10466272822.68
2022-12-31,3994606221.5,36178705.13,10326956.37,,10326956.37,449724580.86,,,10954967.1,1242305392.55,,,50000000.0,155445874.32,5949651657.83,,,,944164505.95,3214864.93,,,2111947342.21,2111947342.21,,319971574.6,319971574.6,,,,569675318.64,,131734352.1,,84332949.93,215132148.18,4390861401.16,10340513058.99,140774888.89,,,1605556499.55,1292870178.81,312686320.74,4121162.6,1851706199.72,157560018.09,34860880.6,,,161413850.41,,,160163265.47,4116156765.33,,,0.0,,,,20428277.57,184899865.27,,205328142.84,4321484908.17,1156884000.0,,,,296172863.43,,-500970.51,76947396.95,377422401.53,3517898757.36,,,5424824448.76,594203702.06,6019028150.82,10340513058.99
2022-09-30,3429254537.48,312671710.76,21350043.51,,21350043.51,357814017.7,,,,1346208897.2,,,,73719971.32,5624756228.76,,,,893050168.59,3856255.4,,,2137785575.33,,,107476322.82,,,,,569585091.0,,131734352.1,,89319757.01,127516879.37,4072216194.17,9696972422.93,140042777.78,,,1423555216.12,1183947405.3,239607810.82,5500482.0,1476689148.9,142935408.79,53792164.3,,,,,,128076113.7,3506568879.87,,,0.0,,,,17861298.85,189669749.52,,207531048.37,3714099928.24,1156884000.0,,,,296866410.19,,44211.39,71212370.1,351769259.35,3529554918.07,,,5406331169.1,576541325.59,5982872494.69,9696972422.93
2022-06-30,2577848522.78,795364176.51,10789500.58,,10789500.58,337213141.26,,,105909023.99,1661521409.1,,,,40126880.68,5528772654.9,,,,683989926.43,3856255.4,,,2178748970.25,2178748970.25,,39633248.69,39633248.69,,,,463306894.32,,131734352.1,,88132216.94,90441425.68,3691774484.99,9220547139.89,40085555.6,,,2158239326.86,1802349897.16,355889429.7,5500482.0,869356073.75,140535893.07,71665348.37,,,154036578.39,,,73407517.79,3512826775.83,,,0.0,,,,18518946.29,194394120.71,,212913067.0,3725739842.83,1156884000.0,,,,296866410.19,,44211.39,57317855.81,351769259.35,3473330173.75,,,5336211910.49,158595386.57,5494807297.06,9220547139.89
2022-03-31,2818690563.33,1138308080.62,13538760.77,,13538760.77,458722017.59,,,,1289816665.44,,,,20647140.72,5859628093.49,,,,127093156.16,3856255.4,,,2185161833.54,,,47902447.07,,,,,438037954.99,,131734352.1,,85332525.89,88870805.96,3119959928.92,8979588022.41,40042777.78,,,1855209441.57,1588599820.33,266609621.24,5326383.2,1051372065.26,142665033.37,80016052.41,,,,,,89894589.16,3416118836.06,,,0.0,,,,18122292.5,199375509.45,,217497801.95,3633616638.01,1156884000.0,,,,296866410.19,,44211.39,49771724.16,351769259.35,3333247359.04,,,5188582964.13,157388420.27,5345971384.4,8979588022.41
2021-12-31,1612230694.31,1394305257.72,12626971.74,1900000.0,10726971.74,279576362.55,,,44237785.56,1411776339.62,,,,42739268.55,4817499300.05,,,,128177262.08,3856255.4,,,2226160766.44,2226160766.44,,34909034.34,34909034.34,,,,439437823.26,,131734352.1,,85580884.88,93071204.7,3154937583.64,7972436883.69,40042777.78,,,1304672830.17,1087642245.64,217030584.53,5320482.0,827471035.59,133838209.42,48438117.34,,,124073226.71,,,71710291.86,2555566970.87,,,0.0,,,,19652654.19,204383547.96,,224036202.15,2779603173.02,1156884000.0,,,,296866410.19,,44211.39,43386922.26,351769259.35,3183637665.03,,,5032588468.22,160245242.45,5192833710.67,7972436883.69
2021-09-30,1588867904.89,1805355197.94,18096714.32,8619129.5,9477584.82,182395289.73,,,,1147290972.03,,,,46850710.24,4801739034.14,,,,135107466.46,4491949.55,,,2263386316.18,,,51551103.24,,,,,436504361.41,,126708950.52,13413448.37,83247440.36,734364.27,3115145400.36,7916884434.5,40000000.0,,1010100.0,1236158506.05,1040233153.46,195925352.59,,951533201.01,115011535.48,52109016.09,,,,,,79955350.74,2605614145.75,,,0.0,,,,17927761.06,202388075.31,,220315836.37,2825929982.12,1156884000.0,,,,287732695.16,,-128258.58,28930359.24,321525068.53,3135956218.13,,,4930900082.48,160054369.9,5090954452.38,7916884434.5
2021-06-30,1870022127.77,1652038770.82,10569779.01,,10569779.01,173974435.83,,,18709883.08,957045247.36,,,,18152179.09,4700994102.96,,,,135776106.26,4491949.55,,,2131206682.98,2131206682.98,,37030792.08,37030792.08,,,,411478446.35,,,13252851.0,84589110.76,499134.34,2818325073.32,7519319176.28,21550418.66,,,1257146795.6,990871562.29,266275233.31,,739242375.43,112589864.48,50664793.63,,,147006837.99,,,61249421.45,2389450507.24,,,0.0,,,,175408.13,207320967.33,,207496375.46,2596946882.7,1156884000.0,,,,296866410.19,,988471.42,23709566.06,321525068.53,3065543367.32,,,4865516883.52,56855410.06,4922372293.58,7519319176.28
2021-03-31,1860840112.43,1219347462.98,11975192.92,2000000.0,9975192.92,240762824.15,,,,1025350963.17,,,,31516967.06,4410689763.31,,,,130837932.4,4491949.55,,,2169628292.01,,,34276049.6,,,,,414265796.58,,,13292253.63,84891244.09,617390.27,2852300908.13,7262990671.44,27050418.66,,,1189981447.24,1021992149.19,167989298.05,,631090861.81,108700247.63,54846792.72,,,,,,52016365.11,2226959958.13,,,0.0,,,,103156.13,209689292.45,,209792448.58,2436752406.71,1156884000.0,,,,296866410.19,,584551.42,18628681.79,321525068.53,2971415444.12,,,4765904156.05,60334108.68,4826238264.73,7262990671.44
2020-12-31,1447274771.33,1488653831.65,15828850.8,3149250.0,12679600.8,332359816.64,,,19073687.34,878907267.26,,,,31295373.01,4213393598.03,,,,142186571.91,4491949.55,,,2215054120.31,2215054120.31,,25685364.11,25685364.11,,,,417217601.49,,,13331656.26,85069785.6,1071478.87,2904108528.1,7117502126.13,15000000.0,,,1242730522.67,1090664052.42,152066470.25,,553261353.37,131362556.03,50997506.54,,,144309539.1,,,48539404.46,2186200882.17,,,0.0,,,,103156.13,209851078.33,,209954234.46,2396155116.63,1156884000.0,,,,296866410.19,,584551.42,13719299.12,321525068.53,2869638637.55,,,4659217966.81,62129042.69,4721347009.5,7117502126.13
2020-09-30,2663159311.89,70579808.36,14849339.88,77872.73,14771467.15,195594091.27,6930.0,,,647476162.76,,,,245141962.68,3854737634.7,,,,172901846.21,5639610.07,,,2237797850.0,,,35854145.15,,,,,419812897.7,,,14535104.19,83996032.57,4742974.0,2975629659.89,6830367294.59,,,,941913098.24,808811510.02,133101588.22,306350.89,632180731.37,110689886.15,88638797.59,,,,,,,1922733405.56,,,0.0,,,,275305.21,215184921.37,,215460226.58,2138193632.14,1156884000.0,,,,296866410.19,,1560062.86,16524942.66,296823408.6,2796561720.65,,,4565220544.96,126953117.49,4692173662.45,6830367294.59
2020-06-30,2297819630.47,72081825.87,20460437.21,400000.0,20060437.21,120577695.41,6930.0,,49553471.02,765604462.54,,,,285114771.11,3611219223.63,,,,196911138.31,5639610.07,,,2267533344.34,2267533344.34,,76712966.6,76712966.6,,,,422634118.37,,,14574506.82,74892240.59,4733462.98,3063980588.08,6675199811.71,219990000.0,,,1131217691.32,983196507.14,148021184.18,198761.81,153951049.5,105056811.34,41321322.48,,,155687234.99,,,,1807422871.44,,,0.0,,,,275305.21,217563350.41,,217838655.62,2025261527.06,1156884000.0,,,,296866410.19,,1560062.86,10818113.08,296823408.6,2744824557.49,,,4507776552.22,142161732.43,4649938284.65,6675199811.71
2020-03-31,1653480560.24,86944302.87,17531367.19,500000.0,17031367.19,296559998.87,9900.0,,,871181216.75,,,,844446587.92,3825090947.68,,,,212896103.61,5639610.07,,,2242457028.26,,,139227208.97,,,,,425516921.41,,,14613909.45,70890574.77,4732981.59,3150973538.13,6976064485.81,239990000.0,,,1218446886.7,1076767467.46,141679419.24,118256.1,333691067.61,103389388.24,85624557.49,,,,,,,2156917390.29,,,0.0,,,,275305.21,228432539.56,,228707844.77,2385625235.06,1156884000.0,,,,296866410.19,,1560062.86,3985368.02,296823408.6,2692624047.19,,,4448743296.86,141695953.89,4590439250.75,6976064485.81
2019-12-31,922260349.06,86944302.87,17049578.86,1000000.0,16049578.86,168245614.28,1753940.27,,58461794.99,1104622432.74,,,,1025064226.89,3384402239.96,,,,212896103.61,5639610.07,,,2288359703.7,2288359703.7,,137048901.09,137048901.09,,,,428430484.9,,,14653312.08,70366147.09,4949471.59,3211362635.13,6595764875.09,290000000.0,,,815518711.14,697653104.6,117865606.54,477226995.76,,94699722.01,22607693.06,,,139775831.6,,,3400000.0,1843228953.57,,,0.0,,,,275305.21,227245525.26,,227520830.47,2070749784.04,1156884000.0,,,,296866410.19,,1560062.86,,296823408.6,2629799317.0,,,4381933198.65,143081892.4,4525015091.05,6595764875.09
2019-09-30,1077512574.43,,25148687.94,1000000.0,24148687.94,298791681.12,1866166.11,,,1091064403.47,,,,881212708.54,3424421822.81,,,,218998757.35,,3804242.0,114929696.71,2192645290.78,,,139859749.5,,,,,431087745.73,,,15856760.01,62633427.15,4743496.56,3230171007.79,6654592830.6,300000000.0,,,897652218.31,827088857.0,70563361.31,464053346.3,,90130578.13,17639645.86,,,,,,,1892927085.65,,,0.0,,,,,228484490.31,,228484490.31,2121411575.96,1156884000.0,,,,296866410.19,,,,288056487.53,2648273067.26,,,4390079964.98,143101289.66,4533181254.64,6654592830.6
2019-06-30,839007824.04,,43938809.43,,43938809.43,381006034.3,2018379.35,,58924753.19,1457153785.36,,,,847177073.29,3629226658.96,,,,219633102.41,,3804242.0,116583232.55,2210002060.45,2210002060.45,,149559237.84,149559237.84,,,,433990181.41,,,15896162.64,60382372.54,4770999.91,3249343433.75,6878570092.71,793000000.0,,,924139612.96,833167517.09,90972095.87,196924284.25,,85154707.84,15534009.19,,,128331790.97,,,,2143084405.21,,,0.0,,,,,217114282.71,,217114282.71,2360198687.92,1156884000.0,,,,296866410.19,,,,288056487.53,2632050211.92,,,4373857109.64,144514295.15,4518371404.79,6878570092.71
2019-03-31,925591633.28,,27522509.61,1000000.0,26522509.61,411914002.25,2244187.98,,,1508176376.53,,,,794146019.52,3760712436.42,,,,226584897.01,,3804242.0,117991264.67,2187531104.1,,,200590194.78,,,,,436892617.26,,,15935565.27,63202251.84,5401037.89,3368827075.82,7129539512.24,855000000.0,,,848688710.5,,,500314164.8,,85581585.78,17030756.03,,,,,,,2429238508.24,,,0.0,,,,,218214962.65,,218214962.65,2647453470.89,1156884000.0,,,,296866410.19,,,,288056487.53,2593812761.66,,,4335619659.38,146466381.97,4482086041.35,7129539512.24
2018-12-31,872223352.36,,14871397.88,,14871397.88,320301672.17,2352587.73,,,1735394530.26,,,,914158047.57,3944535422.15,,,,227324897.01,,,119641604.14,2230616834.69,2230616834.69,,185276627.14,185276627.14,,,,439795053.06,,,15974967.9,62121317.21,5739220.19,3401188664.34,7345724086.49,950000000.0,,,963262428.33,839755960.93,123506467.4,507842338.0,,90478662.56,26515475.43,,,141725833.65,,,,2679824737.97,,,0.0,,,,,223237072.78,,223237072.78,2903061810.75,1156884000.0,,,,296866410.19,,,,288056487.53,2553671832.56,,,4295478730.28,147183545.46,4442662275.74,7345724086.49
2018-09-30,942211009.44,,30284022.7,490000.0,29794022.7,869839162.03,,,,1124293824.95,,,,1077303143.79,4165132067.55,,,,251098787.37,,,117699480.24,2196398064.42,2196398064.42,,232073938.86,232073938.86,,,,452605868.08,,,17178415.83,49416885.03,4965684.96,3434650267.79,7599782335.34,850000000.0,,,965990094.42,,,872652653.59,,82506934.09,19507317.44,,,,,,,2921207617.4,,,0.0,,,,,214070395.05,,214070395.05,3135278012.45,1156884000.0,,,,296866410.19,,,,239564368.92,2606828029.78,,,4300142808.89,164361514.0,4464504322.89,7599782335.34
2018-06-30,628066734.36,,49105382.47,1476020.52,47629361.95,356976247.64,2684550.3,,140142493.33,1265761601.34,,,,735359400.22,3178096409.66,,,,251258787.37,,,119304284.81,2238690316.06,2238690316.06,,161083945.64,161083945.64,,,,455628438.21,,,17217818.46,49742884.7,4989830.77,3409149449.02,6587245858.68,734220161.81,,,759845153.45,676266660.07,83578493.38,202027737.11,,76165201.22,25204761.05,,,131519774.33,,,,1928982788.97,,,0.0,,,,,218173396.97,,218173396.97,2147156185.94,1156884000.0,,,,296866410.19,,,,239564368.92,2578695296.34,,,4272010075.45,168079597.29,4440089672.74,6587245858.68
2018-03-31,663674573.17,,37770311.4,1602000.0,36168311.4,524186982.13,2731144.03,,138239699.45,1397104769.5,,,,955469697.28,3719177176.96,,,,256350114.25,,,121013790.86,2200768281.94,2200768281.94,,200416597.61,200416597.61,,,,457184651.23,,,17257221.09,47627335.67,6789185.19,3404879320.84,7124056497.8,876347559.55,,,863968588.16,757514765.83,106453822.33,479608073.02,,80434312.89,23437767.36,,,175639602.83,,,,2499435903.81,,,0.0,,,,,223114205.01,,223114205.01,2722550108.82,1157268000.0,,,,298728810.19,,,,239564368.92,2542779105.09,,,4238340284.2,163166104.78,4401506388.98,7124056497.8
2017-12-31,411087515.45,,13731863.97,5380000.0,8351863.97,687981171.19,2758243.96,,132418134.2,1136000980.25,,,,1535856342.88,3919834251.9,,,,256830114.25,,,122452713.27,2242434397.54,2242434397.54,,194733788.51,194733788.51,,,,460095698.39,,,17311844.38,47147489.2,6101199.98,3445696480.86,7365530732.76,722138185.11,,,907310754.89,710327049.5,196983705.39,915853170.02,,85867605.53,27518526.31,,,156684491.18,,,,2815372733.04,,,0.0,,,,,225221400.85,,225221400.85,3040594133.89,1157268000.0,,,,298728810.19,,,,239564368.92,2468142319.24,,,4163703498.35,161233100.52,4324936598.87,7365530732.76
